NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 323.21; King County; Washington,2323,2195,128,250001,0,0,0,27,128,4608,0,0,7197,3608,53,033,032321
Census Tract 323.22; King County; Washington,1038,998,40,228750,0,0,0,4,40,2159,0,0,2969,1819,53,033,032322
Census Tract 323.23; King County; Washington,2596,1783,813,207198,64,104,58,175,813,4681,4,0,6915,3176,53,033,032323
Census Tract 323.24; King County; Washington,2540,1375,1165,167875,73,0,67,217,1165,4520,0,0,6708,3534,53,033,032324
Census Tract 323.25; King County; Washington,2664,1318,1346,131987,89,136,32,335,1346,4530,0,0,6379,3775,53,033,032325
Census Tract 323.26; King County; Washington,1286,1150,136,224929,11,0,28,62,136,2660,35,0,4100,2878,53,033,032326
Census Tract 323.27; King County; Washington,2086,2020,66,151750,0,0,10,16,66,3584,26,0,4125,3233,53,033,032327
Census Tract 323.28; King County; Washington,1081,1062,19,226781,0,0,0,14,19,2182,0,0,3147,2120,53,033,032328
Census Tract 323.30; King County; Washington,2913,783,2130,144531,105,217,149,316,2130,4485,0,0,5610,2307,53,033,032330
Census Tract 323.31; King County; Washington,3670,41,3629,142437,205,29,411,312,3629,4870,0,0,6193,2614,53,033,032331
Census Tract 323.32; King County; Washington,2043,1423,620,225905,69,0,27,141,620,4000,0,0,6238,2553,53,033,032332
Census Tract 323.33; King County; Washington,1239,905,334,179613,10,25,57,190,334,2215,0,0,3445,1261,53,033,032333
Census Tract 324.01; King County; Washington,2173,1972,201,155288,21,0,27,45,201,3875,18,0,5931,4334,53,033,032401
Census Tract 324.02; King County; Washington,2395,2159,236,154116,0,0,10,65,236,4913,102,0,7437,5274,53,033,032402
Census Tract 325; King County; Washington,2036,1835,201,171369,7,18,0,24,201,4186,48,0,5725,4696,53,033,032500
Census Tract 326.01; King County; Washington,938,770,168,153194,13,0,0,49,168,1811,0,0,2454,2154,53,033,032601
Census Tract 326.03; King County; Washington,1408,1319,89,224286,0,26,0,16,89,2762,0,0,4233,3268,53,033,032603
Census Tract 326.04; King County; Washington,2052,1816,236,193634,9,26,13,0,236,4139,41,0,6176,3856,53,033,032604
Census Tract 326.05; King County; Washington,1167,978,189,204153,23,0,27,0,189,2402,0,0,4051,3310,53,033,032605
Census Tract 327.03; King County; Washington,743,466,277,126250,68,62,12,0,277,1267,15,12,1878,1595,53,033,032703
Census Tract 327.04; King County; Washington,2978,2420,558,164310,46,0,34,237,558,5604,57,0,7962,5613,53,033,032704
Census Tract 327.05; King County; Washington,1315,1083,232,152554,42,0,38,23,232,2615,0,0,3593,3012,53,033,032705
Census Tract 327.06; King County; Washington,977,911,66,154534,0,0,18,0,66,2036,3,0,2944,2210,53,033,032706
Census Tract 328; King County; Washington,1075,958,117,112250,56,0,0,27,117,1951,0,0,2534,2384,53,033,032800
Census Tract 9901; King County; Washington,0,0,0,-666666666,0,0,0,0,0,0,0,0,0,0,53,033,990100
