NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 57; King County; Washington,3069,2127,942,185409,72,0,49,128,942,4991,61,0,6614,4714,53,033,005700
Census Tract 58.01; King County; Washington,3269,1140,2129,137104,76,73,121,184,2129,5292,0,0,6359,4317,53,033,005801
Census Tract 58.03; King County; Washington,1471,652,819,169263,83,44,45,54,819,2765,49,0,3237,2223,53,033,005803
Census Tract 58.04; King County; Washington,1533,324,1209,100873,72,45,76,150,1209,2143,15,0,2508,1710,53,033,005804
Census Tract 59.01; King County; Washington,1233,530,703,158074,0,55,23,77,703,1999,0,7,3607,2290,53,033,005901
Census Tract 59.02; King County; Washington,1741,1215,526,177314,64,57,81,35,526,2730,14,0,4316,3130,53,033,005902
Census Tract 60; King County; Washington,3174,1482,1692,144559,34,113,50,338,1692,4881,32,0,6329,4222,53,033,006000
Census Tract 61; King County; Washington,3210,1515,1695,138986,251,75,120,179,1695,4820,0,0,6104,4693,53,033,006100
Census Tract 62; King County; Washington,1667,1533,134,250001,0,12,0,7,134,3244,39,0,4239,3240,53,033,006200
Census Tract 63; King County; Washington,2641,1458,1183,189236,89,34,29,238,1183,4226,24,0,5844,4987,53,033,006300
Census Tract 64; King County; Washington,1450,1250,200,223462,8,21,0,47,200,2653,0,0,3605,2607,53,033,006400
Census Tract 65; King County; Washington,2759,1147,1612,167865,90,123,107,248,1612,4160,54,0,4773,3341,53,033,006500
Census Tract 66; King County; Washington,2464,606,1858,136747,149,48,148,296,1858,3575,0,0,4108,2819,53,033,006600
Census Tract 67.01; King County; Washington,2370,126,2244,162734,182,110,123,302,2244,3059,0,0,3475,1528,53,033,006701
Census Tract 67.02; King County; Washington,2124,519,1605,136541,137,51,0,91,1605,2751,0,0,2996,1442,53,033,006702
Census Tract 67.03; King County; Washington,1918,1102,816,124254,121,18,38,142,816,2595,0,0,3113,2166,53,033,006703
Census Tract 68; King County; Washington,1631,711,920,173295,70,34,11,180,920,2556,0,0,3273,2484,53,033,006800
Census Tract 69; King County; Washington,2072,1277,795,182917,24,122,40,28,795,3425,0,0,4984,3680,53,033,006900
Census Tract 70.01; King County; Washington,2792,981,1811,71735,329,77,257,180,1811,3562,8,0,3737,2386,53,033,007001
Census Tract 70.02; King County; Washington,2542,667,1875,97284,112,56,326,342,1875,3521,38,0,4052,2625,53,033,007002
Census Tract 71.01; King County; Washington,2031,339,1692,117292,120,144,133,217,1692,2644,12,0,3026,1433,53,033,007101
Census Tract 71.02; King County; Washington,1795,292,1503,127250,88,124,17,305,1503,2294,30,0,2597,1394,53,033,007102
Census Tract 72.01; King County; Washington,3466,699,2767,106736,294,70,100,725,2767,4719,0,0,5186,1939,53,033,007201
Census Tract 72.02; King County; Washington,2152,286,1866,170700,139,78,43,208,1866,3253,0,0,3631,1557,53,033,007202
Census Tract 72.03; King County; Washington,2262,164,2098,133679,77,155,159,155,2098,2468,0,0,3137,1092,53,033,007203
Census Tract 73.01; King County; Washington,2354,0,2354,103382,88,178,84,485,2354,2668,18,0,3416,1229,53,033,007301
Census Tract 73.02; King County; Washington,3469,518,2951,176513,236,295,240,304,2951,4476,16,0,5231,1988,53,033,007302
Census Tract 73.03; King County; Washington,2358,93,2265,159260,159,151,61,274,2265,3127,0,0,3645,1713,53,033,007303
Census Tract 74.03; King County; Washington,2018,199,1819,104342,128,177,125,205,1819,2514,5,0,2943,1887,53,033,007403
Census Tract 74.04; King County; Washington,2014,392,1622,99227,207,95,221,237,1622,2564,14,0,2770,1925,53,033,007404
Census Tract 74.05; King County; Washington,1857,197,1660,102985,101,146,116,165,1660,2034,178,0,2518,1608,53,033,007405
Census Tract 74.06; King County; Washington,2022,200,1822,62995,152,242,205,295,1822,2150,26,0,2644,1301,53,033,007406
Census Tract 75.01; King County; Washington,2859,459,2400,72542,105,237,243,567,2400,3615,33,0,4131,2585,53,033,007501
Census Tract 75.02; King County; Washington,2313,428,1885,104906,258,19,109,335,1885,2563,0,0,3071,1725,53,033,007502
Census Tract 75.03; King County; Washington,1669,180,1489,125819,125,92,163,260,1489,1730,0,0,2285,1547,53,033,007503
Census Tract 76; King County; Washington,2344,869,1475,132158,136,40,108,226,1475,3698,0,0,4692,3611,53,033,007600
Census Tract 77; King County; Washington,2535,1451,1084,163950,57,119,84,196,1084,4267,0,0,5665,3465,53,033,007700
Census Tract 78; King County; Washington,2230,1848,382,196667,45,20,19,80,382,4103,0,0,5670,4115,53,033,007800
Census Tract 79.01; King County; Washington,2127,507,1620,76033,81,202,155,215,1620,2702,8,0,3079,2010,53,033,007901
Census Tract 79.02; King County; Washington,2172,575,1597,110586,108,80,156,310,1597,3041,0,0,3781,2258,53,033,007902
Census Tract 80.02; King County; Washington,2943,631,2312,121341,153,118,94,216,2312,3980,51,0,4363,2229,53,033,008002
Census Tract 80.03; King County; Washington,2699,860,1839,102437,158,131,133,364,1839,3762,52,0,3911,2009,53,033,008003
Census Tract 80.04; King County; Washington,2152,784,1368,187179,46,26,0,282,1368,2951,0,0,3024,1761,53,033,008004
Census Tract 81.01; King County; Washington,1977,578,1399,118657,70,75,39,319,1399,2548,0,0,2788,1677,53,033,008101
Census Tract 81.02; King County; Washington,1979,238,1741,145642,423,76,60,273,1741,3074,1,0,3512,1712,53,033,008102
Census Tract 82; King County; Washington,2986,339,2647,135931,297,79,95,534,2647,3847,0,0,4632,2041,53,033,008200
Census Tract 83; King County; Washington,2146,482,1664,92969,134,170,113,377,1664,2749,65,0,3342,1812,53,033,008300
Census Tract 84.01; King County; Washington,2532,241,2291,107050,227,79,89,425,2291,2736,45,0,3394,1896,53,033,008401
Census Tract 84.02; King County; Washington,2456,159,2297,81574,200,510,139,304,2297,2556,0,0,2972,1781,53,033,008402
Census Tract 85; King County; Washington,1997,197,1800,69148,137,45,186,292,1800,3666,77,0,4458,2288,53,033,008500
Census Tract 86; King County; Washington,3280,435,2845,87159,271,186,114,818,2845,4178,18,0,6863,3048,53,033,008600
Census Tract 87; King County; Washington,1995,1004,991,177510,39,24,79,222,991,3731,35,0,4888,2706,53,033,008700
Census Tract 88; King County; Washington,1771,946,825,134522,42,14,173,175,825,3043,9,0,4290,2670,53,033,008800
Census Tract 89; King County; Washington,2780,1642,1138,102556,106,119,121,169,1138,4722,139,0,6176,3346,53,033,008900
Census Tract 90; King County; Washington,2337,508,1829,62443,181,108,120,454,1829,3416,21,0,4256,1654,53,033,009000
