NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract,pct_renters,pct_cost_burdened,pct_poc,income_inverted,pct_renters_norm,pct_cost_burdened_norm,pct_poc_norm,income_inverted_norm,displacement_risk_score
Census Tract 1.01; King County; Washington,1730,159,1571,69028,58,95,223,392,1571,2633,0,0,3370,1289,53,33,101,0.9080924855491329,0.48886059834500317,0.6175074183976261,1.4486874891348438e-05,0.906448189151236,0.5790051058412449,0.6486386393576667,0.29237737352815746,0.6066173269695763
Census Tract 20; King County; Washington,1467,1001,466,156920,57,20,63,35,466,3201,0,0,4231,3225,53,33,2000,0.3176550783912747,0.37553648068669526,0.23776884897187422,6.37267397399949e-06,0.30544740088603384,0.4447843423736036,0.20746434655289314,0.06615124253389498,0.2559618330866064
Census Tract 21; King County; Washington,2070,1232,838,137857,35,64,44,236,838,3641,10,0,4844,3470,53,33,2100,0.4048309178743961,0.4522673031026253,0.28364987613542525,7.2538935273508055e-06,0.3941828834484201,0.5356641107669392,0.26076820173580456,0.0907198836289066,0.3203337698950176
Census Tract 22; King County; Washington,2366,1768,598,189344,14,0,34,119,598,4627,29,0,6201,4167,53,33,2200,0.25274725274725274,0.2792642140468227,0.32801161103047893,5.281392597600135e-06,0.2393783241240868,0.33075974287815174,0.3123069670751121,0.03572602061449761,0.22954276367296206
Census Tract 24; King County; Washington,1369,959,410,168059,12,38,27,66,410,2354,0,0,3051,2415,53,33,2400,0.29948867786705624,0.348780487804878,0.20845624385447392,5.950291266757507e-06,0.2869559894296495,0.41309462030790517,0.17340942331322687,0.0543750976452551,0.23195878267400916
Census Tract 25; King County; Washington,1316,935,381,163824,10,59,19,45,381,2451,0,0,3265,2353,53,33,2500,0.28951367781155013,0.34908136482939633,0.2793261868300153,6.1041117296611e-06,0.27680252892117296,0.41345097820219284,0.25574500755643437,0.0586636540348343,0.2511655421786586
Census Tract 26; King County; Washington,2055,1172,883,147066,18,97,103,239,883,3964,15,0,5372,4298,53,33,2600,0.429683698296837,0.5175537938844847,0.19992553983618766,6.799668176193002e-06,0.41948029930214764,0.6129892452390706,0.1634985856596128,0.07805595715744908,0.31850602183957
Census Tract 27; King County; Washington,2426,1822,604,220329,107,20,0,47,604,4647,11,0,5928,4103,53,33,2700,0.24896949711459193,0.28807947019867547,0.30786099865047234,4.538667174997391e-06,0.23553298152624658,0.34120050725658724,0.2888963027863198,0.015018633595370931,0.22016210629113112
Census Tract 28; King County; Washington,2381,1469,912,142813,66,108,12,101,912,3794,0,0,5107,3644,53,33,2800,0.38303233935321296,0.31469298245614036,0.28646955159584886,7.002163668573589e-06,0.37199431152619883,0.37272147567500313,0.26404405630352074,0.0837015866225875,0.27311535753182753
Census Tract 29; King County; Washington,2116,1458,658,124815,65,101,20,78,658,3467,0,0,4475,3703,53,33,2900,0.31096408317580343,0.4012158054711246,0.17251396648044692,8.011857549172776e-06,0.29863669859985265,0.4751988617991334,0.13165225119805735,0.11185212694358873,0.254334984635158
Census Tract 30; King County; Washington,2758,1806,952,188229,84,35,28,102,952,4817,0,0,6366,5134,53,33,3000,0.34517766497461927,0.2615546218487395,0.19352811812755266,5.3126776426586765e-06,0.3334623877943158,0.30978455211871986,0.1560661618151005,0.036598256189345486,0.2089778394793704
Census Tract 31; King County; Washington,2710,2029,681,186563,0,15,60,80,681,4749,15,0,6660,5247,53,33,3100,0.25129151291512913,0.2276064610866373,0.21216216216216222,5.360119637870318e-06,0.23789653998234894,0.269576446818925,0.17771490087127176,0.03792095193384332,0.18077720990159726
Census Tract 32.01; King County; Washington,2652,1111,1541,126880,35,111,185,232,1541,3906,48,0,4589,3488,53,33,3201,0.5810708898944194,0.36534717715768983,0.23992155153628236,7.881462799495586e-06,0.5735759246477093,0.4327161601796752,0.2099653225082931,0.10821668581735722,0.3311185232882587
Census Tract 32.02; King County; Washington,2180,1538,642,163836,78,15,56,92,642,3752,77,0,4917,3743,53,33,3202,0.2944954128440367,0.37538940809968846,0.23876347366280248,6.103664640250006e-06,0.2818733910399281,0.44461015001877996,0.2086198858632403,0.05865118906031487,0.2484386539955658
Census Tract 33.01; King County; Washington,2207,768,1439,128105,96,155,147,184,1439,3471,0,0,4315,3237,53,33,3301,0.6520163117353874,0.4044475330090341,0.2498261877172654,7.806096561414464e-06,0.6457906148643633,0.479026510727012,0.22147237292258645,0.1061154545781565,0.36310123827302954
Census Tract 33.02; King County; Washington,1711,803,908,162083,67,19,101,60,908,2992,0,0,3899,3016,53,33,3302,0.5306838106370544,0.2720264317180617,0.22646832521159277,6.1696784980534665e-06,0.5222873816371524,0.322187334020683,0.19433557592049497,0.06049167339081151,0.27482549124228545
Census Tract 34; King County; Washington,1429,1064,365,181161,44,18,0,50,365,2601,0,0,3576,2762,53,33,3400,0.2554233729881036,0.30684931506849317,0.22762863534675615,5.5199518660197284e-06,0.242102322222354,0.3634314582726125,0.19568360597203546,0.042377117975421576,0.2108986261106059
Census Tract 35; King County; Washington,1817,1060,757,145089,78,40,32,268,757,3186,12,0,4051,3226,53,33,3500,0.4166208035222895,0.5521796565389696,0.20365341890891142,6.8923212648787985e-06,0.40618369925385583,0.6540000187376449,0.16782957688880948,0.08063915049855065,0.3271631113447152
Census Tract 36.01; King County; Washington,1896,908,988,117375,87,93,71,177,988,3093,18,0,3602,2819,53,33,3601,0.5210970464135021,0.4331983805668016,0.2173792337590228,8.519701810436635e-06,0.5125291027994311,0.5130789330117438,0.18377601253484974,0.12601096322871466,0.3338487528936849
Census Tract 36.02; King County; Washington,3075,405,2670,100954,239,214,162,517,2670,3751,0,0,4228,2550,53,33,3602,0.8682926829268293,0.4239700374531835,0.39687795648060553,9.905501515541733e-06,0.865936337329475,0.5021489096076712,0.39231480325028173,0.16464743634692572,0.48126187163358836
Census Tract 38; King County; Washington,929,562,367,175417,27,38,31,34,367,1775,0,0,2478,1595,53,33,3800,0.395048439181916,0.3542234332425068,0.35633575464083944,5.700701756386211e-06,0.38422538865880523,0.4195412294432528,0.3452135112944632,0.04741647413528926,0.2990991508829526
Census Tract 39; King County; Washington,1173,926,247,211406,9,0,43,37,247,2237,0,0,3383,2166,53,33,3900,0.21057118499573743,0.3603238866396761,0.35973987584983746,4.730234714246521e-06,0.1964476939551715,0.42676658914060933,0.3491683657335909,0.02035958875162819,0.24818555939525
